project_manager,employee_id,hire_date,Salary/Rate,employee_type,termination_date,Department/Team
Christopher Myers,SUP3867,03/07/2023,106764,permanent,,Database Administration
Christopher Neal,SUP9176,20/09/2020,116615,fixed term,,Project Management Office (PMO)
Christopher Nielsen,SUP8368,29/07/2021,109802,fixed term,,IT Support/Helpdesk
Christopher Ortiz,SUP2020,27/07/2022,118278,fixed term,,Database Administration
Christopher Ramirez,SUP8678,25/01/2021,104575,permanent,,Web Development
Christopher Reese,SUP4810,28/10/2022,546,contract,,Network and Infrastructure
Christopher Rivera,SUP3839,28/01/2021,112594,permanent,,IT Operations
Christopher Roberson,SUP2064,05/09/2021,94967,fixed term,,Cybersecurity
Christopher Salazar,SUP7868,21/07/2021,105783,fixed term,,Network and Infrastructure
Christopher Shaw,SUP1120,19/05/2024,100221,permanent,,Project Management Office (PMO)
Christopher Smith,SUP2135,25/01/2023,461,contract,,Project Management Office (PMO)
Christopher Snyder,SUP5606,04/03/2023,578,contract,,Cybersecurity
Christopher Stafford,SUP2994,02/09/2021,92633,permanent,,Business Analysis
Christopher Turner,SUP1478,17/03/2024,467,contract,,IT Operations
Christopher Ward,SUP1482,07/03/2021,107009,permanent,,Project Management Office (PMO)
Christopher Warren,SUP2554,16/05/2022,636,contract,,IT Support/Helpdesk
Christopher Webb,SUP7366,21/08/2022,91253,fixed term,,IT Support/Helpdesk
Christopher Weber,SUP4604,03/08/2024,115993,fixed term,,IT Support/Helpdesk
Christopher Wilson,SUP9415,11/02/2022,106579,permanent,,Web Development
Christopher Wood,SUP3990,05/05/2021,118508,permanent,,Network and Infrastructure
Christy Fisher,SUP9153,16/01/2021,110321,fixed term,,Web Development
Christy Gutierrez,SUP4530,28/01/2023,90898,fixed term,,Database Administration
Christy Johnson,SUP5814,19/11/2020,110236,fixed term,,Project Management Office (PMO)
Christy Smith,SUP3561,26/03/2023,104566,permanent,,Network and Infrastructure
Cindy Flores,SUP4613,01/08/2021,116341,permanent,,Mobile Development
Cindy Harris,SUP8177,10/09/2022,94826,permanent,,Network and Infrastructure
Cindy Jenkins,SUP5114,22/10/2020,117855,fixed term,,IT Operations
Cindy Walsh,SUP1701,13/05/2024,550,contract,,Mobile Development
Claire Hall,SUP5573,06/08/2022,103190,permanent,,Project Management Office (PMO)
Claudia Burton,SUP7844,31/08/2023,103585,fixed term,,Project Management Office (PMO)
Claudia Harris,SUP2673,10/04/2023,96144,permanent,,Project Management Office (PMO)
Claudia Mckinney,SUP9349,03/10/2022,106108,fixed term,,Database Administration
Clayton Guerrero,SUP3619,11/12/2023,101959,permanent,,Database Administration
Clayton Reese,SUP4873,26/09/2023,488,contract,,Web Development
Clifford Cox,SUP5247,22/05/2021,428,contract,,Business Analysis
Clinton Davis,SUP7796,20/02/2023,93356,permanent,,IT Operations
Cody Cruz,SUP7542,01/03/2021,94762,permanent,,Network and Infrastructure
Cody Hayes,SUP2313,30/03/2024,119846,fixed term,,Business Analysis
Cody Morrison,SUP3551,12/04/2024,103260,permanent,,Project Management Office (PMO)
Cody Thomas,SUP3200,14/06/2021,670,contract,,Project Management Office (PMO)
Cole Hill,SUP1404,31/10/2024,116691,permanent,,Web Development
Colleen Burton,SUP4913,09/06/2024,486,contract,,Web Development
Colleen Hernandez,SUP9212,28/02/2022,489,contract,,Cybersecurity
Colleen Mcclain,SUP7426,15/09/2021,104334,permanent,,Web Development
Colleen Smith,SUP6386,27/03/2024,117421,permanent,,Quality Assurance (QA)
Colleen Williams,SUP2143,03/03/2024,114621,fixed term,,Quality Assurance (QA)
Colton Johnson,SUP5084,09/06/2022,502,contract,,Training and Documentation
Colton Patrick,SUP8766,30/08/2023,119493,permanent,,Network and Infrastructure
Connie Davis,SUP1553,06/08/2023,436,contract,,IT Support/Helpdesk
Connie Perez,SUP1629,06/06/2024,498,contract,,Business Analysis
Connor Richardson,SUP6125,11/07/2021,96196,fixed term,,Quality Assurance (QA)
Corey Anderson,SUP2126,05/05/2023,598,contract,,Cybersecurity
Corey Baker,SUP1561,10/02/2024,479,contract,,IT Support/Helpdesk
Corey Howard,SUP7735,05/10/2023,117973,permanent,,Database Administration
Corey Kennedy,SUP5791,19/10/2023,102494,fixed term,,Web Development
Corey Warren,SUP8227,08/03/2021,97589,fixed term,,Business Analysis
Cory Harding,SUP9663,17/02/2021,105701,fixed term,,Training and Documentation
Cory Williams,SUP3836,30/11/2021,375,contract,,IT Operations
Courtney Brooks,SUP1869,09/05/2022,511,contract,,Business Analysis
Courtney Ford,SUP9255,06/09/2024,104063,permanent,,Database Administration
Courtney Lopez,SUP1988,30/10/2022,115860,fixed term,,Cybersecurity
Courtney Norman,SUP5810,20/09/2021,432,contract,,Training and Documentation
Courtney Stewart DDS,SUP5143,01/05/2024,119772,permanent,,Web Development
Courtney Stout,SUP9343,30/07/2024,112732,permanent,,IT Support/Helpdesk
Craig Dorsey,SUP7604,04/09/2024,116934,fixed term,,Database Administration
Craig Forbes,SUP8648,03/11/2021,551,contract,,Quality Assurance (QA)
Craig Lucero,SUP7284,26/06/2024,479,contract,,Training and Documentation
Craig Smith,SUP9400,27/08/2023,633,contract,,Project Management Office (PMO)
Craig Stanton,SUP4977,03/10/2023,109885,fixed term,,Network and Infrastructure
Craig Stone,SUP7912,17/09/2021,625,contract,,Mobile Development
Cristina Cook,SUP4274,27/08/2024,102077,permanent,,Web Development
Crystal Anderson,SUP5069,02/06/2023,673,contract,,IT Operations
Crystal Bowers,SUP8866,02/11/2020,114514,fixed term,,IT Operations
Crystal Holt,SUP5053,05/10/2021,94816,permanent,,Business Analysis
Crystal Leblanc,SUP1544,19/10/2021,100091,permanent,,IT Support/Helpdesk
Crystal Martin,SUP7371,24/09/2023,93598,fixed term,,Training and Documentation
Crystal Murillo,SUP7550,09/10/2022,105839,fixed term,,Training and Documentation
Crystal Ruiz,SUP9728,05/08/2021,113998,permanent,,Web Development
Crystal Smith,SUP8374,02/11/2021,113788,permanent,,Cybersecurity
Crystal Ward,SUP7354,27/07/2023,102359,permanent,,Training and Documentation
Curtis Lewis,SUP5671,08/01/2021,601,contract,,IT Support/Helpdesk
Curtis Newton,SUP7928,18/07/2023,114012,fixed term,,Web Development
Curtis Rogers,SUP1813,10/07/2023,90785,permanent,,Database Administration
Curtis Sandoval,SUP6669,12/05/2024,627,contract,,Quality Assurance (QA)
Cynthia Collier,SUP8609,03/02/2023,108027,permanent,,Mobile Development
Cynthia Harris,SUP7652,03/09/2024,639,contract,,Quality Assurance (QA)
Cynthia Hernandez,SUP6583,02/10/2024,104338,fixed term,,Network and Infrastructure
Cynthia Mccarthy,SUP9603,06/02/2021,497,contract,,Mobile Development
Cynthia Miller,SUP5920,16/04/2024,94895,permanent,,IT Support/Helpdesk
Cynthia Morris,SUP2803,02/04/2023,91478,fixed term,,Cybersecurity
Cynthia Nelson,SUP9679,22/09/2021,99570,fixed term,,Web Development
Cynthia Ruiz,SUP6872,21/04/2021,95706,fixed term,,Mobile Development
Cynthia Silva,SUP4559,06/01/2023,519,contract,,IT Operations
Cynthia Williams,SUP7349,23/10/2021,119507,fixed term,,Training and Documentation
Daisy Small,SUP8157,11/01/2021,92953,permanent,,Web Development
Dale Nelson,SUP6734,17/02/2023,490,contract,,Web Development
Damon Pearson,SUP6300,06/01/2021,115932,permanent,,Business Analysis
Damon Sloan,SUP7937,28/10/2023,103734,permanent,,Quality Assurance (QA)
Dana Allen MD,SUP3099,09/12/2021,99619,fixed term,,Database Administration
Dana Edwards,SUP9746,12/12/2020,107064,fixed term,,Business Analysis
Dana Hernandez,SUP9432,21/03/2021,466,contract,,IT Support/Helpdesk
Dana Mccann,SUP9268,07/02/2023,472,contract,,Cybersecurity
Daniel Anderson,SUP4924,05/06/2021,105482,fixed term,,Cybersecurity
Daniel Bell,SUP5464,03/12/2022,113643,fixed term,,IT Support/Helpdesk
Daniel Blair,SUP5556,05/05/2024,94143,fixed term,,Web Development
Daniel Burgess,SUP6465,24/09/2020,483,contract,,Training and Documentation
Daniel Carter,SUP9325,18/10/2022,117323,permanent,,IT Operations
Daniel Coleman,SUP1771,20/07/2024,101127,permanent,,Cybersecurity
Daniel Collier,SUP4222,12/05/2022,619,contract,,Quality Assurance (QA)
Daniel Combs,SUP2231,16/01/2022,118386,permanent,,Mobile Development
Daniel Contreras,SUP7322,17/06/2024,554,contract,,IT Support/Helpdesk
Daniel Fox,SUP9678,16/01/2022,380,contract,,Business Analysis
Daniel Fuller,SUP3716,27/03/2024,115268,permanent,,Database Administration
Daniel Garrison II,SUP1668,10/08/2021,446,contract,,Database Administration
Daniel Goodwin,SUP7398,07/08/2023,92945,permanent,,Business Analysis
Daniel Hernandez,SUP8555,02/08/2021,462,contract,,Database Administration
Daniel Hoffman,SUP6899,27/07/2023,101047,permanent,,Cybersecurity
Daniel Jackson,SUP1853,19/08/2021,495,contract,,Database Administration
Daniel Jones,SUP2527,21/05/2022,613,contract,,Project Management Office (PMO)
Daniel Le,SUP6906,25/08/2021,100473,fixed term,,IT Operations
Daniel Melton,SUP3571,04/12/2023,615,contract,,Web Development
Daniel Meyer,SUP5370,17/09/2023,411,contract,,Project Management Office (PMO)
Daniel Mosley,SUP7279,28/04/2021,90280,permanent,,Business Analysis
Daniel Perez,SUP1077,03/05/2021,118208,permanent,,Network and Infrastructure
Daniel Phillips,SUP8310,10/02/2024,110660,fixed term,,Training and Documentation
Daniel Rich,SUP6587,19/06/2022,104812,permanent,,Project Management Office (PMO)
Daniel Rivera,SUP8145,25/01/2024,108265,fixed term,,Project Management Office (PMO)
Daniel Rodriguez,SUP1623,04/10/2022,428,contract,,Web Development
Daniel Sanchez,SUP2408,25/02/2022,111094,permanent,,Cybersecurity
Daniel Sandoval,SUP3391,01/12/2023,94815,fixed term,,Network and Infrastructure
Daniel Smith,SUP2637,15/06/2023,119282,fixed term,,IT Operations
Daniel Sutton,SUP3970,18/12/2020,91868,permanent,,Business Analysis
Daniel Thomas,SUP5518,22/08/2022,570,contract,,Network and Infrastructure
Daniel White,SUP2937,20/02/2023,106524,permanent,,Training and Documentation
Danielle Anderson,SUP4025,16/04/2021,118210,permanent,,Quality Assurance (QA)
Danielle Burch,SUP1613,10/12/2020,91772,fixed term,,Quality Assurance (QA)
Danielle Christensen,SUP8557,08/03/2024,643,contract,,Web Development
Danielle Colon,SUP5135,10/03/2022,567,contract,,Network and Infrastructure
Danielle Donovan,SUP7855,19/05/2024,401,contract,,Business Analysis
Danielle Hall,SUP3359,11/02/2022,560,contract,,Network and Infrastructure
Danielle Hernandez,SUP2381,27/10/2022,112311,fixed term,,Web Development
Danielle Perez,SUP2850,20/12/2023,115537,permanent,,Web Development
Danielle Smith,SUP5867,09/11/2021,93578,fixed term,,Mobile Development
Danielle Stafford,SUP6665,25/01/2022,394,contract,,Mobile Development
Danny Pope,SUP8893,07/03/2023,114469,fixed term,,Web Development
Darren Johnson,SUP9085,04/03/2021,103289,permanent,,Mobile Development
Darryl Myers DVM,SUP4348,30/10/2022,411,contract,,IT Support/Helpdesk
David Adams,SUP1317,19/08/2023,391,contract,,Training and Documentation
David Allison,SUP6179,19/09/2022,508,contract,,Training and Documentation
David Brewer,SUP1668,11/06/2021,558,contract,,Web Development
David Brown,SUP8355,28/11/2021,598,contract,,IT Operations
David Carpenter,SUP5572,12/08/2020,100741,fixed term,,IT Operations
David Charles,SUP1953,27/10/2024,420,contract,,Web Development
David Choi,SUP4192,25/07/2024,493,contract,,Network and Infrastructure
David Clark,SUP8829,14/07/2022,604,contract,,IT Operations
David Collins,SUP5005,19/02/2024,568,contract,,Network and Infrastructure
David Davis,SUP8689,01/02/2023,482,contract,,Web Development
David Diaz,SUP9360,24/09/2021,91108,fixed term,,IT Support/Helpdesk
David Evans,SUP8389,20/11/2021,118923,permanent,,Web Development
David Gonzales,SUP8793,10/05/2023,104973,permanent,,Cybersecurity
David Gordon,SUP1404,01/10/2024,108594,permanent,,IT Support/Helpdesk
David Graham,SUP6786,29/04/2023,111176,permanent,,Web Development
David Greene,SUP4322,31/08/2021,94857,permanent,,Cybersecurity
David Hall,SUP8792,17/10/2022,109484,fixed term,,Database Administration
David Hartman,SUP4252,17/03/2021,97175,permanent,,IT Operations
David Henderson,SUP8882,20/11/2021,104707,permanent,,IT Operations
David Hopkins,SUP9075,19/09/2023,119825,fixed term,,Quality Assurance (QA)
David Howard,SUP1720,24/05/2023,443,contract,,Training and Documentation
David Hunt,SUP3369,06/11/2022,96105,fixed term,,Mobile Development
David Hunter,SUP1577,29/06/2023,632,contract,,Web Development
David Johnson,SUP3184,27/07/2021,115488,permanent,,Database Administration
David Lane,SUP8278,03/01/2023,546,contract,,Web Development
David Levy,SUP7385,05/12/2023,457,contract,,Project Management Office (PMO)
David Lewis,SUP2990,30/08/2022,505,contract,,IT Operations
David Lynn,SUP7414,02/12/2022,464,contract,,Cybersecurity
David Mccall,SUP8291,04/07/2022,99905,fixed term,,IT Operations
David Mccoy,SUP2265,01/06/2023,492,contract,,Training and Documentation
David Mcdaniel,SUP8438,06/11/2021,107271,fixed term,,Quality Assurance (QA)
David Mcpherson,SUP3120,26/05/2021,559,contract,,Web Development
David Miller,SUP8591,11/04/2022,101845,fixed term,,IT Operations
David Nelson,SUP4359,05/04/2022,574,contract,,IT Operations
David Norman,SUP9444,04/04/2021,105644,fixed term,,Network and Infrastructure
David Powell,SUP2412,09/08/2023,636,contract,,Business Analysis
David Price,SUP5845,30/01/2023,380,contract,,Database Administration
David Riddle,SUP1174,31/08/2024,105208,permanent,,Quality Assurance (QA)
David Rodgers,SUP5070,11/03/2023,110586,fixed term,,Training and Documentation
David Saunders,SUP4658,15/08/2023,420,contract,,Quality Assurance (QA)
David Scott,SUP6693,16/01/2022,502,contract,,Quality Assurance (QA)
David Spencer,SUP1528,02/09/2024,117391,fixed term,,IT Support/Helpdesk
David Tran,SUP6577,01/01/2023,100561,fixed term,,Business Analysis
David Wilson,SUP8759,30/04/2024,618,contract,,Network and Infrastructure
Dawn Davis,SUP6300,06/05/2021,98931,permanent,,Network and Infrastructure
Dawn Green,SUP9101,06/09/2023,119206,fixed term,,Web Development
Dawn Porter,SUP8543,26/01/2022,667,contract,,Mobile Development
Dawn Steele,SUP6775,04/09/2023,101667,permanent,,Quality Assurance (QA)
Dean Brooks,SUP1013,28/04/2023,98331,fixed term,,Database Administration
Deanna Collins,SUP1334,19/05/2021,109645,fixed term,,Training and Documentation
Deanna Lopez,SUP7595,08/03/2021,90714,fixed term,,Database Administration
Deanna Marsh,SUP5804,10/07/2022,94332,fixed term,,Web Development
Deanna Williams,SUP6095,24/12/2022,118556,fixed term,,Training and Documentation
Debbie Holmes,SUP4952,01/10/2022,103665,permanent,,Mobile Development
Debbie Lawrence,SUP9997,16/06/2024,416,contract,,IT Operations
Debbie Lynn,SUP3680,04/09/2024,562,contract,,Web Development
Debbie Miller,SUP5934,07/03/2022,103073,permanent,,IT Operations
Debbie Taylor,SUP6801,18/11/2020,617,contract,,IT Operations
Deborah Barker,SUP1210,20/11/2021,439,contract,,Training and Documentation
Deborah Chapman,SUP4502,12/03/2024,666,contract,,Database Administration
Deborah Gibbs,SUP2667,10/12/2020,92047,permanent,,IT Operations
Deborah Hill,SUP9313,28/05/2024,102854,permanent,,Database Administration
Deborah Lopez,SUP3750,28/08/2022,643,contract,,IT Support/Helpdesk
Deborah Raymond,SUP1994,29/10/2021,105576,fixed term,,Web Development
Deborah Snyder,SUP4733,16/08/2023,110789,fixed term,,Training and Documentation
Debra Ford,SUP1802,03/11/2023,104093,permanent,,IT Support/Helpdesk
Debra Lopez,SUP4718,18/08/2023,104257,fixed term,,Project Management Office (PMO)
Debra Mercer,SUP5265,28/01/2023,118366,fixed term,,Database Administration
Debra Wells,SUP1525,17/06/2023,118439,fixed term,,Web Development
Denise Gibson,SUP1734,03/02/2023,109269,permanent,,Web Development
Denise Hood,SUP6708,03/12/2020,91521,permanent,,Cybersecurity
Denise Thomas,SUP2756,02/05/2024,101220,fixed term,,IT Support/Helpdesk
Denise Trevino,SUP2136,29/04/2022,397,contract,,Web Development
Dennis Fields,SUP1652,25/07/2023,447,contract,,Web Development
Dennis Garrison,SUP2978,14/09/2024,458,contract,,Web Development
Dennis Johnson,SUP3582,19/08/2024,666,contract,,Cybersecurity
Derek Burnett,SUP1957,04/04/2022,90985,permanent,,Project Management Office (PMO)
Derek Montgomery,SUP7846,21/02/2021,615,contract,,Web Development
Derek Warner,SUP6837,26/06/2021,95919,fixed term,,Cybersecurity
Derrick Macdonald,SUP5948,30/09/2023,94462,permanent,,Project Management Office (PMO)
Derrick Santana,SUP7481,22/01/2024,674,contract,,Training and Documentation
Derrick Wheeler,SUP2747,19/11/2020,111690,permanent,,Mobile Development
Desiree Olson,SUP6794,12/08/2024,420,contract,,Database Administration
Destiny Lee,SUP7046,26/02/2023,117152,permanent,,Cybersecurity
Devin Huff,SUP4484,13/10/2022,113059,permanent,,Quality Assurance (QA)
Devon Ross,SUP7072,09/09/2021,96235,permanent,,Web Development
Diana Brewer,SUP2225,28/06/2022,601,contract,,Project Management Office (PMO)
Diana Brooks,SUP7929,13/01/2024,103554,permanent,,Business Analysis
Diana Hood,SUP8091,01/04/2021,105997,fixed term,,Business Analysis
Diana Johnson,SUP7745,26/10/2023,661,contract,,Training and Documentation
Diana Lang,SUP1408,06/12/2023,116314,permanent,,Training and Documentation
Diana Li,SUP4435,15/07/2021,438,contract,,Cybersecurity
Diana Robinson,SUP5989,25/02/2024,109160,fixed term,,Database Administration
Diana Silva,SUP3781,10/07/2023,113869,permanent,,Training and Documentation
Dillon Reid,SUP5509,26/10/2021,438,contract,,Quality Assurance (QA)
Dominic Jenkins,SUP3391,31/12/2023,382,contract,,IT Support/Helpdesk
Don Sims,SUP5406,30/04/2023,569,contract,,Database Administration
Donald Aguirre,SUP2981,07/07/2022,117735,permanent,,Business Analysis
Donald Munoz,SUP6010,14/09/2021,101028,permanent,,Training and Documentation
Donald Nash,SUP6808,01/09/2022,112354,permanent,,IT Support/Helpdesk
Donald Pennington,SUP3262,27/06/2023,97310,fixed term,,IT Support/Helpdesk
Donald Reed,SUP7380,06/12/2020,477,contract,,Web Development
